"filename", "language", "pip requirements", "Python", "XML", "Django", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\Django_heavens.iml", "XML", 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\dataSources.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\dictionaries\LEGION_5_PRO.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 58, 0, 0, 0, 0, 0, 58
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\jsLibraryMappings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\misc.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\asgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\formats\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\formats\es\formats.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\settings.py", "Python", 0, 103, 0, 0, 0, 0, 16, 29, 148
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\urls.py", "Python", 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\Django_heavens\wsgi.py", "Python", 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\autenticacion\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\autenticacion\admin.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
